"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J47","BRESS_FFKDSA1/V2-7,62_P1.3","5712.795mil","-93.701mil","5575mil","-300mil","5712.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J45","BRESS_FFKDS/V2-5,08_P1.3","5512.795mil","-93.701mil","5375mil","-300mil","5512.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J42","BRESS_FFKDSA/V2-7,62_P1.3","5212.795mil","-93.701mil","5075mil","-300mil","5212.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA/V2"
"J39","BRESS_FFKDSA1/V2-7,62_P1.3","4612.795mil","-93.701mil","4475mil","-300mil","4612.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J37","BRESS_FFKDSA/V2-7,62_P1.3","4312.795mil","-93.701mil","4175mil","-300mil","4312.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA/V2"
"J34","BRESS_FFKDS/V2-5,08_P1.3","4112.795mil","-93.701mil","3975mil","-300mil","4112.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J31","BRESS_FFKDSA1/V2-7,62_P1.3","3912.795mil","300mil","3775mil","93.701mil","3912.795mil","150mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
"J27","BRESS_FFKDS/V2-5,08_P1.3","3512.795mil","-93.701mil","3375mil","-300mil","3512.795mil","-243.701mil","T","0.00","BRESS_CI_D_5.08_01_FFKDS/V2"
"J24","BRESS_FFKDSA/V2-7,62_P1.3","3212.795mil","-93.701mil","3075mil","-300mil","3212.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA/V2"
"J21","BRESS_FFKDSA1/V2-7,62_P1.3","2612.795mil","-93.701mil","2475mil","-300mil","2612.795mil","-243.701mil","T","0.00","BRESS_CI_D_7.62_01_FFKDSA1/V2"
